signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
noise,pink_noise,noise / pink_noise,wsola,WSOLA,local waveform-similarity overlap-add,-12,160.71811483941383,1.8166999208518877,1673.3053725419386,0.19299161220791655,0.7667266581271974,0.5221535441008311,0.4939572714786484
noise,pink_noise,noise / pink_noise,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,56.84368338538808,1.517485979883961,1431.3659101569913,0.06824058127143506,0.6231818827265629,0.4465088470508777,0.37931043701629186
noise,pink_noise,noise / pink_noise,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.2636052739096362,0.6608035780239838,325.8256384753267,0.00028908468011455495,0.2121974126618875,0.10085106099354253,0.10444585277851486
transient,impulse_train,transient / impulse_train,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.0232961104995825,0.2938147900895246,500.5376637446561,4.783747971963668e-07,0.03613835950349941,0.1554764540245246,0.06387176396760706
transient,impulse_train,transient / impulse_train,wsola,WSOLA,local waveform-similarity overlap-add,3,0.0248971229018972,0.2201764235442563,261.17827240295463,2.4011573812748205e-06,0.000811119227140787,0.08063844097109563,0.027150653785205897
transient,impulse_train,transient / impulse_train,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,1.9951356967905705,0.8352346992252421,247.38405515725088,0.002368616691299456,0.2958789284185327,0.07632554643827953,0.1248576971827039
transient,impulse_train,transient / impulse_train,psola,PSOLA,local pitch-synchronous overlap-add,3,0.0267720056664612,0.324834737187721,1077.155172413794,4.652852572193093e-06,0.05101985641753344,0.3357614572522148,0.12892865550744015
transient,impulse_train,transient / impulse_train,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.0237066208247287,0.2711043539487292,194.49582721184652,9.713891565069615e-07,0.025243264025878048,0.059789533912660606,0.028344589775898387
transient,impulse_train,transient / impulse_train,wsola,WSOLA,local waveform-similarity overlap-add,7,0.0251733017843159,0.2203494409079237,238.78913633937185,2.7328424728063875e-06,0.000894122507428148,0.0736382625047766,0.024845039284892522
transient,impulse_train,transient / impulse_train,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,1.461664720419303,0.7908984856571624,210.40204157759348,0.0017279291482204635,0.2746090911971889,0.06476276463346842,0.1136999283262926
transient,impulse_train,transient / impulse_train,psola,PSOLA,local pitch-synchronous overlap-add,7,0.0245097544807562,0.3586127320281325,1776.2479292143864,1.935935967177695e-06,0.0672244980434074,0.5543395233382533,0.20718865243920928
